_id,ifsc,name,bseCode,mode,hasNetBanking,hasUPI,hasMandate
6527d97d47eb507e0cd33928,TJSB,TJSB SAHAKARI BANK LTD,TJS,,false,true,true
6527d97d47eb507e0cd338b6,ALLA,Allahabad Bank - Retail Net Banking,ALB,NODAL,true,true,true
6527d97d47eb507e0cd338ba,MAHB,Bank of Maharashtra,BOM,NODAL,true,true,true
6527d97d47eb507e0cd338bf,COSB,Cosmos Bank,COB,NODAL,true,true,true
6527d97d47eb507e0cd338c0,BKDN,Dena Bank,DEN,NODAL,true,true,true
6527d97d47eb507e0cd338c3,DCBL,Development Credit Bank - Retail,DCB,NODAL,true,true,true
6527d97d47eb507e0cd338c7,IOBA,Indian Overseas Bank,IOB,NODAL,true,true,true
6527d97d47eb507e0cd338ce,NKGS,NKGSB BANK,NKB,NODAL,true,true,true
6527d97d47eb507e0cd338d0,PMCB,Punjab & Maharastra Coop Bank,PMC,NODAL,true,true,true
6527d97d47eb507e0cd338d1,PSIB,Punjab & Sind Bank,PSB,NODAL,true,true,true
6527d97d47eb507e0cd338df,UTBI,United Bank of India,UNI,NODAL,true,true,true
6527d97d47eb507e0cd338e2,SBMY,STATE BANK OF MYSORE,SBM,NODAL,true,true,true
6527d97d47eb507e0cd338ea,ESFB,Equitas Small Finance,EQB,NODAL,true,true,true
6527d97d47eb507e0cd338f4,BCBM,Bharat Cooperative,BCB,NODAL,true,true,true
6527d97d47eb507e0cd338fa,DNSB,DOMBIVLI NAGARI SAHAKARI,DNS,,false,true,true
6527d97d47eb507e0cd338fc,SGBA,SAURASHTRA GRAMIN BANK,SAGX,,false,false,true
6527d97d47eb507e0cd338fe,HCBL,HASTI COOP Bank Ltd,HCB,,false,true,true
6527d97d47eb507e0cd33901,CLBL,Capital Bank,CPB,NODAL,true,false,true
6527d97d47eb507e0cd33906,JSFB,Jana Small Finance Bank,JNB,NODAL,true,false,true
6527d97d47eb507e0cd33909,NESF,North East Small Finance Bank,NEB,NODAL,true,false,true
6527d97d47eb507e0cd3390e,SUTB,Sutex Bank,SUT,NODAL,true,true,true
6527d97d47eb507e0cd33913,AIRP,AIRTEL PAYMENTS BANK LIMITED,AIRP,,false,true,true
6527d97d47eb507e0cd33915,FINO,FINO PAYMENTS BANK LTD,FINO,,false,true,true
6527d97d47eb507e0cd33916,JJSB,JALGAON JANATA SAHAKARI BANK LIMITED,JJS,,false,true,true
6527d97d47eb507e0cd3391c,MCBL,MAHANAGAR COOPERATIVE BANK,MCB,,false,true,true
6527d97d47eb507e0cd3391f,RATN,RBL Bank Limited,RAT,,false,true,true
6527d97d47eb507e0cd33920,TSAB,TELANGANA STATE COOP APEX BANK,TSA,,false,true,true
6527d97d47eb507e0cd33927,VSBL,THE VISHWESHWAR SAHAKARI BANK LIMITED,VSB,,false,true,true
6528c02747eb507e0cd33938,DOHB,DOHA BANK QSC,DOH,,false,true,true
652e6b777dd111b3f11b8f5f,VASJ,VASAI JANATA SAHAKARI BANK,VJSX,,false,false,true
6542616e3be22c5e6b2686bf,TDCB,Thane District Central Co-operative Bank,TDC,NODAL,false,false,true
662f3c5a3f3da94506c49b73,PMEC,Prime Coop Bank,PME,NODAL,false,false,true
669e53eba9586fbda06c96ed,AJHC,AMBARNATH JAIHIND COOP BANK,AJSX,,false,false,true
66d82f942c86176769abbf77,SUNB,Suran National Coop Bank,SUN,,false,false,true
6728507d3f2e287b635dad44,MDBK,Model Coop Bank,MDEX,NODAL,false,false,true
678a2b9492b303a798e8939b,RSBL,RSB Bank,RSB,NODAL,false,false,true
6791febe4f8ffb11b848b539,IPOS,India Post,IPPB,DIRECT,true,false,true
